id,indicator_code,spatial_dim_type,spatial_dim,time_dim_type,parent_location_code,parent_location,time_dim,numeric_value,low,high,date,time_dimension_value,time_dimension_begin,time_dimension_end
3187513,MDG_0000000026,COUNTRY,USA,YEAR,AMR,Americas,2000,12.08971584,11.68159778,12.48470476,2025-04-10 15:44:11.957000+02:00,2000,2000-01-01 00:00:00+01:00,2000-12-31 00:00:00+01:00
3189353,MDG_0000000026,COUNTRY,NIC,YEAR,AMR,Americas,1999,227.979488,177.1660686,285.8752822,2025-04-10 15:44:11.957000+02:00,1999,1999-01-01 00:00:00+01:00,1999-12-31 00:00:00+01:00
3189846,MDG_0000000026,COUNTRY,ECU,YEAR,AMR,Americas,2000,122.7378365,110.1497042,134.9132187,2025-04-10 15:44:11.957000+02:00,2000,2000-01-01 00:00:00+01:00,2000-12-31 00:00:00+01:00
3190317,MDG_0000000026,COUNTRY,FRA,YEAR,EUR,Europe,2010,9.432145392,8.81975687,10.08858172,2025-04-10 15:44:11.957000+02:00,2010,2010-01-01 00:00:00+01:00,2010-12-31 00:00:00+01:00
3197084,MDG_0000000026,COUNTRY,PLW,YEAR,WPR,Western Pacific,2021,109.1473469,48.17690562,244.5137898,2025-04-10 15:44:11.957000+02:00,2021,2021-01-01 00:00:00+01:00,2021-12-31 00:00:00+01:00
3197336,MDG_0000000026,COUNTRY,DZA,YEAR,AFR,Africa,2020,96.77084703,70.53260519,137.6782059,2025-04-10 15:44:11.957000+02:00,2020,2020-01-01 00:00:00+01:00,2020-12-31 00:00:00+01:00
3199409,MDG_0000000026,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,2018,19.43184675,14.07944395,25.1350896,2025-04-10 15:44:11.957000+02:00,2018,2018-01-01 00:00:00+01:00,2018-12-31 00:00:00+01:00
3200366,MDG_0000000026,COUNTRY,PHL,YEAR,WPR,Western Pacific,2004,121.5211654,104.9527522,141.6349711,2025-04-10 15:44:11.957000+02:00,2004,2004-01-01 00:00:00+01:00,2004-12-31 00:00:00+01:00
3203123,MDG_0000000026,COUNTRY,BIH,YEAR,EUR,Europe,1989,26.26466188,21.10964754,33.00411437,2025-04-10 15:44:11.957000+02:00,1989,1989-01-01 00:00:00+01:00,1989-12-31 00:00:00+01:00
3204782,MDG_0000000026,COUNTRY,LAO,YEAR,WPR,Western Pacific,2001,573.60326,437.6095352,765.2553164,2025-04-10 15:44:11.957000+02:00,2001,2001-01-01 00:00:00+01:00,2001-12-31 00:00:00+01:00
3204999,MDG_0000000026,COUNTRY,MDG,YEAR,AFR,Africa,2001,610.7078274,500.3494017,737.2712165,2025-04-10 15:44:11.957000+02:00,2001,2001-01-01 00:00:00+01:00,2001-12-31 00:00:00+01:00
3206147,MDG_0000000026,COUNTRY,MNG,YEAR,WPR,Western Pacific,1987,341.3749791,248.1263273,479.7275349,2025-04-10 15:44:11.957000+02:00,1987,1987-01-01 00:00:00+01:00,1987-12-31 00:00:00+01:00
3207588,MDG_0000000026,COUNTRY,MOZ,YEAR,AFR,Africa,2012,191.0498609,150.7293918,247.1919273,2025-04-10 15:44:11.957000+02:00,2012,2012-01-01 00:00:00+01:00,2012-12-31 00:00:00+01:00
3207589,MDG_0000000026,COUNTRY,CHE,YEAR,EUR,Europe,1991,13.63594432,10.5835341,18.79235308,2025-04-10 15:44:11.957000+02:00,1991,1991-01-01 00:00:00+01:00,1991-12-31 00:00:00+01:00
3207698,MDG_0000000026,COUNTRY,PLW,YEAR,WPR,Western Pacific,2008,98.94455721,48.3151085,196.0745699,2025-04-10 15:44:11.957000+02:00,2008,2008-01-01 00:00:00+01:00,2008-12-31 00:00:00+01:00
3207717,MDG_0000000026,COUNTRY,BIH,YEAR,EUR,Europe,1997,15.74718287,10.81836608,21.80823425,2025-04-10 15:44:11.957000+02:00,1997,1997-01-01 00:00:00+01:00,1997-12-31 00:00:00+01:00
3208186,MDG_0000000026,COUNTRY,BFA,YEAR,AFR,Africa,2016,313.020797,222.1388754,438.8518674,2025-04-10 15:44:11.957000+02:00,2016,2016-01-01 00:00:00+01:00,2016-12-31 00:00:00+01:00
3208260,MDG_0000000026,COUNTRY,RUS,YEAR,EUR,Europe,1992,62.46073504,52.7262909,73.82603317,2025-04-10 15:44:11.957000+02:00,1992,1992-01-01 00:00:00+01:00,1992-12-31 00:00:00+01:00
3208756,MDG_0000000026,COUNTRY,ESP,YEAR,EUR,Europe,1987,6.633923432,5.576830419,8.141773768,2025-04-07 06:46:44.380000+02:00,1987,1987-01-01 00:00:00+01:00,1987-12-31 00:00:00+01:00
3209685,MDG_0000000026,COUNTRY,ROU,YEAR,EUR,Europe,1998,57.95669245,48.5956967,69.52829286,2025-04-10 15:44:11.957000+02:00,1998,1998-01-01 00:00:00+01:00,1998-12-31 00:00:00+01:00
3210283,MDG_0000000026,COUNTRY,GHA,YEAR,AFR,Africa,1993,696.0185044,502.9400065,950.2077523,2025-04-10 15:44:11.957000+02:00,1993,1993-01-01 00:00:00+01:00,1993-12-31 00:00:00+01:00
3210802,MDG_0000000026,COUNTRY,BWA,YEAR,AFR,Africa,1988,318.9119477,194.8279471,506.7034932,2025-04-10 15:44:11.957000+02:00,1988,1988-01-01 00:00:00+01:00,1988-12-31 00:00:00+01:00
3210939,MDG_0000000026,COUNTRY,LCA,YEAR,AMR,Americas,1987,69.40804736,47.96379332,97.35082409,2025-04-10 15:44:11.957000+02:00,1987,1987-01-01 00:00:00+01:00,1987-12-31 00:00:00+01:00
3215775,MDG_0000000026,COUNTRY,GAB,YEAR,AFR,Africa,1995,341.3319416,242.4000396,473.0501875,2025-04-10 15:44:11.957000+02:00,1995,1995-01-01 00:00:00+01:00,1995-12-31 00:00:00+01:00
3216382,MDG_0000000026,COUNTRY,COK,YEAR,WPR,Western Pacific,2006,0.181850931,0.1478784,0.225141389,2025-04-07 06:46:44.380000+02:00,2006,2006-01-01 00:00:00+01:00,2006-12-31 00:00:00+01:00
3217081,MDG_0000000026,COUNTRY,MUS,YEAR,AFR,Africa,2011,54.97621855,44.75815534,68.18873918,2025-04-10 15:44:11.957000+02:00,2011,2011-01-01 00:00:00+01:00,2011-12-31 00:00:00+01:00
3218992,MDG_0000000026,COUNTRY,MKD,YEAR,EUR,Europe,2014,4.217342805,2.559379431,6.420715299,2025-04-07 06:46:44.380000+02:00,2014,2014-01-01 00:00:00+01:00,2014-12-31 00:00:00+01:00
3219120,MDG_0000000026,COUNTRY,TKM,YEAR,EUR,Europe,1990,61.7761749,52.00983256,73.68716629,2025-04-10 15:44:11.957000+02:00,1990,1990-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
